ROIid;ROIname;Vgm;Vwm;Vcsf;ROIcolor;CircNumber;CircRegion;CircLabel;Hemisphere
173;Left PIns posterior insula;1;0;0;255 0 0;6;Frontal lobe;insular;left
174;Right PO parietal operculum;1;0;0;102 102 255;86;Frontal lobe;opercular;right
175;Left PO parietal operculum;1;0;0;102 102 255;22;Frontal lobe;opercular;left
176;Right PoG postcentral gyrus;1;0;0;255 177 100;104;Parietal lobe;lateral;right
177;Left PoG postcentral gyrus;1;0;0;255 177 100;40;Parietal lobe;lateral;left
178;Right POrG posterior orbital gyrus;1;0;0;0 255 255;68;Frontal lobe;inferior;right
179;Left POrG posterior orbital gyrus;1;0;0;0 255 255;4;Frontal lobe;inferior;left
180;Right PP planum polare;1;0;0;255 0 255;92;Temporal lobe;supra-temporal;right
181;Left PP planum polare;1;0;0;255 0 255;28;Temporal lobe;supra-temporal;left
182;Right PrG precentral gyrus;1;0;0;102 0 0;75;Frontal lobe;lateral;right
183;Left PrG precentral gyrus;1;0;0;102 0 0;11;Frontal lobe;lateral;left
184;Right PT planum temporale;1;0;0;0 102 0;93;Temporal lobe;supra-temporal;right
185;Left PT planum temporale;1;0;0;0 102 0;29;Temporal lobe;supra-temporal;left
186;Right SCA subcallosal area;1;0;0;255 215 0;82;Frontal lobe;medial;right
187;Left SCA subcallosal area;1;0;0;255 215 0;18;Frontal lobe;medial;left
190;Right SFG superior frontal gyrus;1;0;0;0 204 0;76;Frontal lobe;lateral;right
191;Left SFG superior frontal gyrus;1;0;0;0 204 0;12;Frontal lobe;lateral;left
192;Right SMC supplementary motor cortex;1;0;0;255 0 0;83;Frontal lobe;medial;right
193;Left SMC supplementary motor cortex;1;0;0;255 0 0;19;Frontal lobe;medial;left
194;Right SMG supramarginal gyrus;1;0;0;102 102 255;105;Parietal lobe;lateral;right
195;Left SMG supramarginal gyrus;1;0;0;102 102 255;41;Parietal lobe;lateral;left
196;Right SOG superior occipital gyrus;1;0;0;255 177 100;99;Occipital lobe;lateral;right
197;Left SOG superior occipital gyrus;1;0;0;255 177 100;35;Occipital lobe;lateral;left
198;Right SPL superior parietal lobule;1;0;0;0 255 255;106;Parietal lobe;lateral;right
199;Left SPL superior parietal lobule;1;0;0;0 255 255;42;Parietal lobe;lateral;left
200;Right STG superior temporal gyrus;1;0;0;255 0 255;90;Temporal lobe;lateral;right
201;Left STG superior temporal gyrus;1;0;0;255 0 255;26;Temporal lobe;lateral;left
202;Right TMP temporal pole;1;0;0;102 0 0;91;Temporal lobe;lateral;right
203;Left TMP temporal pole;1;0;0;102 0 0;27;Temporal lobe;lateral;left
204;Right TrIFG triangular part of the inferior frontal gyrus;1;0;0;0 102 0;77;Frontal lobe;lateral;right
205;Left TrIFG triangular part of the inferior frontal gyrus;1;0;0;0 102 0;13;Frontal lobe;lateral;left
206;Right TTG transverse temporal gyrus;1;0;0;255 215 0;94;Temporal lobe;supra-temporal;right
207;Left TTG transverse temporal gyrus;1;0;0;255 215 0;30;Temporal lobe;supra-temporal;left
